ISA,Binary,CPU_Type,Sim_Seconds,Sim_Insts,Host_Inst_Rate,IPC,L1D_Miss_Rate,L1D_Avg_Miss_Lat,L2_Miss_Rate,ROB_Reads,ROB_Writes,Branch_Mispred
x86,bc,o3,0.002544,12030533,226725,1.049761,0.011845,12540.222815,N/A,42544988,65241967,205169
x86,bc,in-order,0.004483,12030334,1071066,0.595733,0.007325,15428.005319,N/A,N/A,N/A,N/A
x86,bfs,o3,0.002393,11357624,232887,1.053581,0.010651,15104.992010,N/A,40006154,61314107,193146
x86,bfs,in-order,0.004214,11357481,1078006,0.598329,0.006887,16480.781663,N/A,N/A,N/A,N/A
x86,cc,o3,0.002421,11569660,229528,1.060786,0.010448,14788.658209,N/A,40566189,62264860,193831
x86,cc,in-order,0.004297,11569403,984434,0.597746,0.006817,16589.143975,N/A,N/A,N/A,N/A
x86,cc_sv,o3,0.002423,11698089,233969,1.071786,0.009570,14994.012086,N/A,41074670,63280368,200253
x86,cc_sv,in-order,0.004332,11697894,1133959,0.599546,0.006327,16969.275753,N/A,N/A,N/A,N/A
x86,converter,o3,0.002372,11253836,237555,1.053117,0.010284,15845.559327,N/A,39675340,60804503,191402
x86,converter,in-order,0.004182,11253735,1093345,0.597382,0.006728,17683.889227,N/A,N/A,N/A,N/A
x86,pr,o3,0.002577,13269997,243272,1.143138,0.008926,13921.536005,N/A,44418341,69204884,207591
x86,pr,in-order,0.004977,13269792,1051137,0.591868,0.005373,16370.361170,N/A,N/A,N/A,N/A
x86,pr_spmv,o3,0.002515,12656720,244338,1.117199,0.009409,14037.511341,N/A,42980786,66655255,202503
x86,pr_spmv,in-order,0.004695,12656523,1048585,0.598420,0.005706,16828.040177,N/A,N/A,N/A,N/A
x86,sssp,o3,0.002883,13808706,230751,1.063327,0.014879,11789.774981,N/A,48452456,74710182,227058
x86,sssp,in-order,0.005422,13808528,1047445,0.565408,0.007841,17990.452545,N/A,N/A,N/A,N/A
x86,tc,o3,0.003086,15590424,226778,1.121684,0.013296,8790.615634,N/A,55826463,88055492,346671
x86,tc,in-order,0.005562,15590744,1057647,0.622251,0.006080,13495.342642,N/A,N/A,N/A,N/A
arm,bc,o3,0.001500,10122391,327241,1.498568,0.018136,15571.132692,N/A,24576603,38069438,208045
arm,bc,in-order,0.003087,10127652,1495139,0.728432,0.007499,15810.353807,N/A,N/A,N/A,N/A
arm,bfs,o3,0.001410,9407501,327683,1.482462,0.017871,17970.949675,N/A,22254297,34055974,196320
arm,bfs,in-order,0.002873,9412743,1449476,0.727403,0.007276,18131.868524,N/A,N/A,N/A,N/A
arm,cc,o3,0.001423,9593046,330000,1.500523,0.017298,17528.850009,N/A,23398891,36300200,197822
arm,cc,in-order,0.002936,9617256,1358111,0.727276,0.007287,17735.988231,N/A,N/A,N/A,N/A
arm,cc_sv,o3,0.001448,9739865,313625,1.497720,0.016348,17990.242682,N/A,23317971,35860759,203077
arm,cc_sv,in-order,0.002974,9767389,1567675,0.729108,0.006696,18548.113152,N/A,N/A,N/A,N/A
arm,converter,o3,0.001384,9308007,324989,1.496920,0.017348,18047.174766,N/A,22364769,34510420,195153
arm,converter,in-order,0.002844,9332173,1618165,0.728459,0.007100,18933.495656,N/A,N/A,N/A,N/A
arm,pr,o3,0.001588,11267787,328628,1.584457,0.014257,16125.951248,N/A,26344479,40734045,210514
arm,pr,in-order,0.003466,11332320,1451624,0.725913,0.005554,17787.746187,N/A,N/A,N/A,N/A
arm,pr_spmv,o3,0.001513,10675464,327899,1.569425,0.015086,16775.684768,N/A,24722184,38193272,205328
arm,pr_spmv,in-order,0.003277,10699576,1422074,0.724755,0.005966,18250.437982,N/A,N/A,N/A,N/A
arm,sssp,o3,0.001757,11609832,326821,1.466935,0.025533,15278.181336,N/A,25741362,38391778,225236
arm,sssp,in-order,0.003839,11612824,1395795,0.671497,0.010763,19200.860269,N/A,N/A,N/A,N/A
arm,tc,o3,0.002002,12837531,290320,1.448816,0.019393,11123.450869,N/A,34002945,53061633,351620
